trade_date,universe_count,up_count,down_count,pct_up_4_5,pct_down_4_5,ratio_4_5,pct_above_sma10,pct_above_ema10,ma10_count,pct_above_sma20,pct_above_ema20,ma20_count,pct_above_sma50,pct_above_ema50,ma50_count,pct_above_sma200,pct_above_ema200,ma200_count,hl_count,pct_52w_high,pct_52w_low
2021-07-12,0,0,0,,,,,,0,,,0,,,0,,,0,0,,
2021-07-13,302,17,6,5.6291,1.9868,283.32,,,0,,,0,,,0,,,0,0,,
2021-07-14,302,10,4,3.3113,1.3245,250.0,,,0,,,0,,,0,,,0,0,,
2021-07-15,302,21,5,6.9536,1.6556,420.0,,,0,,,0,,,0,,,0,0,,
2021-07-16,302,22,0,7.2848,0.0,,,,0,,,0,,,0,,,0,0,,
2021-07-19,302,11,6,3.6424,1.9868,183.33,,,0,,,0,,,0,,,0,0,,
2021-07-20,303,7,16,2.3102,5.2805,43.75,,,0,,,0,,,0,,,0,0,,
2021-07-22,303,33,4,10.8911,1.3201,825.02,,,0,,,0,,,0,,,0,0,,
2021-07-23,303,19,11,6.2706,3.6304,172.72,,,0,,,0,,,0,,,0,0,,
2021-07-26,303,22,8,7.2607,2.6403,275.0,45.6954,47.6821,302,,,0,,,0,,,0,0,,
2021-07-27,303,19,7,6.2706,2.3102,271.43,39.0728,40.3974,302,,,0,,,0,,,0,0,,
2021-07-28,303,15,6,4.9505,1.9802,250.0,35.4305,35.4305,302,,,0,,,0,,,0,0,,
2021-07-29,303,22,5,7.2607,1.6502,439.99,44.0397,44.702,302,,,0,,,0,,,0,0,,
2021-07-30,303,21,3,6.9307,0.9901,700.0,53.6424,54.6358,302,,,0,,,0,,,0,0,,
2021-08-02,303,28,0,9.2409,0.0,,63.0363,61.0561,303,,,0,,,0,,,0,0,,
2021-08-03,303,18,4,5.9406,1.3201,450.01,66.9967,65.6766,303,,,0,,,0,,,0,0,,
2021-08-04,303,6,16,1.9802,5.2805,37.5,50.495,47.5248,303,,,0,,,0,,,0,0,,
2021-08-05,303,5,10,1.6502,3.3003,50.0,41.9142,40.9241,303,,,0,,,0,,,0,0,,
2021-08-06,303,12,2,3.9604,0.6601,599.97,43.8944,43.2343,303,,,0,,,0,,,0,0,,
2021-08-09,303,9,13,2.9703,4.2904,69.23,32.3432,32.0132,303,38.7417,38.4106,302,,,0,,,0,0,,
2021-08-10,303,4,53,1.3201,17.4917,7.55,19.4719,19.802,303,27.1523,25.1656,302,,,0,,,0,0,,
2021-08-11,303,13,6,4.2904,1.9802,216.66,18.8119,20.132,303,25.8278,24.8344,302,,,0,,,0,0,,
2021-08-12,303,47,1,15.5116,0.33,4700.48,28.0528,37.6238,303,35.4305,36.0927,302,,,0,,,0,0,,
2021-08-13,303,10,4,3.3003,1.3201,250.0,33.6634,39.2739,303,34.4371,36.755,302,,,0,,,0,0,,
2021-08-16,303,8,7,2.6403,2.3102,114.29,32.0132,33.0033,303,31.0231,33.3333,303,,,0,,,0,0,,
2021-08-17,304,12,8,3.9474,2.6316,150.0,33.3333,33.9934,303,31.0231,34.3234,303,,,0,,,0,0,,
2021-08-18,304,6,8,1.9737,2.6316,75.0,34.6535,34.6535,303,31.6832,32.6733,303,,,0,,,0,0,,
2021-08-20,304,5,45,1.6447,14.8026,11.11,19.802,18.8119,303,23.7624,23.1023,303,,,0,,,0,0,,
