symbol,industry,in_our_universe
20MICRONS,Industrial Minerals Companies,1
21STCENMGM,Other Capital Market related Services Companies,1
360ONE,Stockbroking & Allied Companies,1
3BBLACKBIO,Healthcare Service Provider Companies,1
3IINFOLTD,IT Consulting & Software Companies,1
3MINDIA,Diversified Companies,1
3PLAND,Real Estate Companies,1
5PAISA,Stockbroking & Allied Companies,1
63MOONS,Computers - Software & Consulting Companies,1
A2ZINFRA,Civil Construction Companies,1
AAATECH,Consulting Services Companies,1
AADHARHFC,Housing Finance Company Companies,1
AAKAAR,Personal Care Companies,0
AAKASH,Offshore Support Solution Drilling Companies,1
AARADHYA,Paper & Paper Products Companies,0
AAREYDRUGS,Pharmaceuticals Companies,0
AARNAV,Textiles Companies,1
AARON,Industrial Machinery Companies,1
AARTECH,Heavy Electrical Equipment Companies,0
AARTIDRUGS,Pharmaceuticals Companies,1
AARTIIND,Specialty Chemicals Companies,1
AARTIPHARM,Pharmaceuticals Companies,1
AARTISURF,Speciality Chemical Companies,1
AARVI,Trading & Distributors Companies,1
AAVAS,Housing Finance Company Companies,1
AAYUSHBULL,"Gems, Jewellery And Watches Companies",0
ABAN,Offshore Support Solution Drilling Companies,0
ABB,Heavy Electrical Equipment Companies,1
ABBOTINDIA,Pharmaceuticals Companies,1
ABCAPITAL,Investment Company Companies,1
ABCOTS,Textiles Companies,1
ABDL,Breweries & Distilleries Companies,1
ABFRL,Speciality Retail Companies,1
ABHAPOWER,Castings & Forgings Companies,0
ABINFRA,Civil Construction Companies,1
ABLBL,Speciality Retail Companies,1
ABMINTLLTD,Speciality Chemical Companies,1
ABREL,Paper & Paper Products Companies,1
ABSLAMC,Asset Management Company Companies,1
ABSMARINE,Shipping Companies,0
ACC,Cement & Cement Products Companies,1
ACCELYA,IT Consulting & Software Companies,1
ACCENTMIC,Pharmaceuticals Companies,0
ACCORD,Other Telecom Services Companies,0
ACCURACY,Logistics Companies,0
ACE,Construction Vehicles Companies,1
ACEINTEG,Trading & Distributors Companies,1
ACGL,Auto Components & Equipments Companies,0
ACI,Specialty Chemicals Companies,1
ACL,Cement & Cement Products Companies,1
ACMESOLAR,Power Generation Companies,1
ACUTAAS,Speciality Chemical Companies,1
ADANIENSOL,Power Distribution Companies,1
ADANIENT,Trading - Minerals Companies,1
ADANIGREEN,Power Generation Companies,1
ADANIPORTS,Port & Port services Companies,1
ADANIPOWER,Integrated Power Utilities Companies,1
ADDICTIVE,E-Learning Companies,0
ADFFOODS,Packaged Foods Companies,1
ADL,Plywood Boards/ Laminates Companies,1
ADOR,Other Industrial Products Companies,1
ADROITINFO,IT Consulting & Software Companies,1
ADSL,IT Consulting & Software Companies,1
ADVAIT,Cables - Electricals Companies,1
ADVANCE,Pesticides & Agrochemicals Companies,1
ADVANIHOTR,Hotels & Resorts Companies,1
ADVENTHTL,Hotels & Resorts Companies,1
ADVENZYMES,Biotechnology Companies,1
AEGISLOG,Trading - Gas Companies,1
AEGISVOPAK,Oil Storage & Transportation Companies,1
AEPL,Heavy Electrical Equipment Companies,1
AEQUS,Aerospace & Defense Companies,1
AEROENTER,Heavy Electrical Equipment Companies,1
AEROFLEX,Iron & Steel Products Companies,1
AERONEU,Petrochemical Companies,1
AETHER,Specialty Chemicals Companies,1
AFCOM,Airline Companies,0
AFCONS,Civil Construction Companies,1
AFFLE,IT Enabled Services Companies,1
AFFORDABLE,Heavy Electrical Equipment Companies,0
AFIL,Non Banking Financial Company (NBFC) Companies,1
AFSL,Holding Company Companies,1
AGARIND,Petrochemicals Companies,1
AGARWALEYE,Hospital Companies,1
AGARWALFT,Glass - Industrial Companies,0
AGARWALTUF,Glass - Industrial Companies,0
AGI,Packaging Companies,1
AGIIL,"Residential, Commercial Projects Companies",1
AGRITECH,Edible Oil Companies,0
AGROPHOS,Fertilizers Companies,1
AGSTRA,Financial Technology (Fintech) Companies,0
AHCL,Pharmaceuticals Companies,1
AHLADA,"Furniture, Home Furnishing Companies",1
AHLEAST,Hotels & Resorts Companies,1
AHLUCONT,Civil Construction Companies,1
AIAENG,Castings & Forgings Companies,1
AIIL,Non Banking Financial Company (NBFC) Companies,1
AIMTRON,Electronic Manufacturing Services,0
AIRAN,IT Consulting & Software Companies,1
AIRLTD,Civil Construction Companies,0
AIROLAM,Plywood Boards/ Laminates Companies,1
AJANTPHARM,Pharmaceuticals Companies,1
AJAXENGG,Construction Vehicles Companies,1
AJMERA,Real Estate Companies,1
AJOONI,Animal Feed Companies,1
AKASH,Civil Construction Companies,1
AKCAPIT,Non Banking Financial Company (NBFC) Companies,1
AKG,Food Processing Companies,1
AKI,Leather And Leather Products Companies,1
AKIKO,Other Financial Services Companies,0
AKSHAR,Textiles Companies,1
AKSHARCHEM,Dyes And Pigments Companies,0
AKSHOPTFBR,Telecom -  Equipment & Accessories Companies,0
AKUMS,Pharmaceuticals Companies,1
AKZOINDIA,Paints Companies,0
ALANKIT,Other Financial Services Companies,1
ALBERTDAVD,Pharmaceuticals Companies,1
ALCODIS,Breweries & Distilleries Companies,0
ALEMBICLTD,Pharmaceuticals Companies,1
ALGOQUANT,Other Financial Services Companies,1
ALICON,Auto Components & Equipments Companies,1
ALIVUS,Pharmaceuticals Companies,1
ALKALI,Speciality Chemical Companies,0
ALKEM,Pharmaceuticals Companies,1
ALKYLAMINE,Specialty Chemicals Companies,1
ALLCARGO,Logistics Solution Provider Companies,1
ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,1
ALLTIME,Houseware Companies,1
ALMONDZ,Stockbroking & Allied Companies,1
ALOKINDS,Other Textile Products Companies,1
ALPA,Pharmaceuticals Companies,1
ALPEXSOLAR,Other Electrical Equipment Companies,0
ALPHAGEO,Offshore Support Solution Drilling Companies,1
ALTIUSINVIT,Telecom - Infrastructure Companies,0
ALUWIND,"Aluminium, Copper & Zinc Products Companies",0
AMAGI,IT Enabled Services Companies,1
AMANTA,Pharmaceuticals Companies,0
AMBER,Household Appliances Companies,1
AMBEY,Pesticides & Agrochemicals Companies,0
AMBICAAGAR,Household Products Companies,1
AMBIKCO,Textiles Companies,1
AMBUJACEM,Cement & Cement Products Companies,1
AMCL,"Aluminium, Copper & Zinc Products Companies",0
AMDIND,Packaging Companies,1
AMIC,Castings & Forgings Companies,0
AMIRCHAND,Food Processing Companies,0
AMJLAND,Real Estate Companies,1
AMNPLST,Commodity Chemicals Companies,1
AMRUTANJAN,Pharmaceuticals Companies,1
ANANDRATHI,Financial Products Distributor Companies,1
ANANTAM,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
ANANTRAJ,"Residential, Commercial Projects Companies",1
ANDHRAPAP,Paper & Paper Products Companies,1
ANDHRSUGAR,Commodity Chemicals Companies,1
ANDREWYU,Tea & Coffee Companies,0
ANGELONE,Stockbroking & Allied Companies,1
ANIKINDS,Real Estate Companies,0
ANKITMETAL,Iron & Steel Companies,0
ANMOL,Trading - Coal Companies,1
ANNAPURNA,Packaged Foods Companies,0
ANONDITA,Personal Care Companies,0
ANSALAPI,Real Estate Companies,0
ANTELOPUS,Oil Exploration & Production Companies,1
ANTGRAPHIC,Packaging Companies,1
ANTHEM,Biotechnology Companies,1
ANUHPHR,Pharmaceuticals Companies,1
ANUP,Industrial Products Companies,1
ANURAS,Specialty Chemicals Companies,1
ANYA,Fertilizers Companies,0
ANZEN,Power - Transmission Companies,0
APARINDS,Other Electrical Equipment Companies,1
APCL,Cement & Cement Products Companies,1
APCOTEXIND,Rubber Companies,1
APEX,Seafood Companies,1
APEXECO,Water Supply & Management Companies,0
APLAPOLLO,Iron & Steel Products Companies,1
APLLTD,Pharmaceuticals Companies,1
APOLLO,Aerospace & Defense Companies,1
APOLLOHOSP,Hospital Companies,1
APOLLOPIPE,Plastic Products - Industrial Companies,1
APOLLOTYRE,Tyres & Rubber Products Companies,1
APOLSINHOT,Hotels & Resorts Companies,1
APRAMEYA,Medical Equipment & Supplies Companies,0
APTECHT,Education Companies,0
APTUS,Housing Finance Company Companies,1
AQYLON,TV Broadcasting & Software Production Companies,1
ARABIAN,Lubricants Companies,0
ARCHIDPLY,Plywood Boards/ Laminates Companies,1
ARCHIES,Leisure Products Companies,1
ARE&M,Auto Components & Equipments Companies,1
ARENTERP,Trading - Minerals Companies,1
ARFIN,Aluminium Companies,1
ARHAM,Consumer Electronics Companies,0
ARIES,Fertilizers Companies,1
ARIHANTACA,Education Companies,0
ARIHANTCAP,Stockbroking & Allied Companies,1
ARIHANTSUP,Real Estate Companies,1
ARIS,Other Construction Materials Companies,1
ARKADE,Real Estate Companies,1
ARMANFIN,Non Banking Financial Company (NBFC) Companies,1
AROGRANITE,Granites & Marbles Companies,1
ARROWGREEN,Packaging Companies,0
ARSHIYA,Logistics Companies,0
ARSSBL,Stockbroking & Allied Companies,1
ARSSINFRA,Civil Construction Companies,0
ARTEMISMED,Hospital Companies,1
ARTNIRMAN,Real Estate Companies,1
ARUNAYA,Dyes And Pigments Companies,0
ARVEE,Speciality Chemical Companies,1
ARVIND,Garments & Apparels Companies,1
ARVINDFASN,Speciality Retail Companies,1
ARVINDPORT,Shipping Companies,0
ARVSMART,Real Estate Companies,1
ASAHIINDIA,Auto Components & Equipments Companies,1
ASAHISONG,Dyes And Pigments Companies,1
ASAL,Auto Components & Equipments Companies,1
ASALCBR,Breweries & Distilleries Companies,1
ASHAPURMIN,Industrial Minerals Companies,1
ASHIANA,"Residential, Commercial Projects Companies",1
ASHIKA,Stockbroking & Allied Companies,1
ASHIMASYN,Textiles Companies,1
ASHOKA,Civil Construction Companies,1
ASHOKAMET,Trading - Metals Companies,1
ASHOKLEY,Commercial Vehicles Companies,1
ASHWINI,Road Transport Companies,0
ASIANENE,Oil Equipment & Services Companies,1
ASIANHOTNR,Hotels & Resorts Companies,1
ASIANPAINT,Paints Companies,1
ASIANTILES,Ceramics Companies,1
ASKAUTOLTD,Auto Components & Equipments Companies,1
ASMS,IT Consulting & Software Companies,0
ASMTEC,Computers - Software & Consulting Companies,0
ASPINWALL,Diversified Companies,1
ASPIRE,Household Appliances Companies,0
ASTAR,"Gems, Jewellery And Watches Companies",1
ASTEC,Pesticides & Agrochemicals Companies,1
ASTERDM,Hospital Companies,1
ASTRAL,Plastic Products - Industrial Companies,1
ASTRAMICRO,Aerospace & Defense Companies,1
ASTRAZEN,Pharmaceuticals Companies,1
ASTRON,Paper Companies,0
ATALREAL,Real Estate Companies,1
ATAM,Iron & Steel Companies,1
ATGL,LPG/CNG/PNG/LNG Supplier Companies,1
ATHERENERG,2/3 Wheelers Companies,1
ATL,Port & Port services Companies,1
ATLANTAA,Civil Construction Companies,1
ATLANTAELE,Heavy Electrical Equipment Companies,1
ATLASCYCLE,Cycles Companies,1
ATUL,Specialty Chemicals Companies,1
ATULAUTO,Commercial Vehicles Companies,1
AUBANK,Other Bank Companies,1
AURIGROW,Heavy Electrical Equipment Companies,0
AURIONPRO,Computers - Software & Consulting Companies,1
AUROIMPEX,Electrodes & Refractories Companies,0
AUROPHARMA,Pharmaceuticals Companies,1
AURUM,IT Enabled Services Companies,1
AUSOMENT,Diversified Companies,0
AUTOAXLES,Auto Components & Equipments Companies,1
AUTOIND,Auto Components & Equipments Companies,0
AVADHSUGAR,Sugar Companies,0
AVALON,Other Electrical Equipment Companies,1
AVANTEL,Aerospace & Defense Companies,1
AVANTIFEED,Animal Feed Companies,1
AVG,Logistics Companies,0
AVL,Speciality Retail Companies,1
AVONMORE,Other Financial Services Companies,1
AVROIND,Plastic Products - Consumer Companies,1
AVTNPL,Other Agricultural Products Companies,1
AWFIS,Diversified Commercial Services Companies,1
AWHCL,Waste Management Companies,1
AWL,Edible Oil Companies,1
AXISBANK,Private Sector Bank Companies,1
AXISCADES,Aerospace & Defense Companies,1
AXISOL,Industrial Products Companies,0
AXITA,Textiles Companies,1
AYE,Non Banking Financial Company (NBFC) Companies,1
AYMSYNTEX,Other Textile Products Companies,1
AZAD,Heavy Electrical Equipment Companies,1
BAFNAPH,Pharmaceuticals Companies,0
BAGDIGITAL,Digital Entertainment Companies,0
BAGFILMS,TV Broadcasting & Software Production Companies,1
BAHETI,"Aluminium, Copper & Zinc Products Companies",0
BAIDFIN,Housing Finance Companies,1
BAJAJ-AUTO,2/3 Wheelers Companies,1
