symbol,session,prev_close,open,implied_factor,nearest_clean,clean_distance_pct
ABINFRA,2025-10-17,196.86,19.58,0.099462,0.1,0.538
AJMERA,2026-01-14,910.05,182.9,0.200978,0.2,0.489
AMIORG,2025-04-25,2202.5,1118.0,0.507605,0.5,1.521
ANANDRATHI,2025-03-05,4056.6,1997.75,0.492469,0.5,1.506
ANDHRAPAP,2024-09-11,586.45,118.4,0.201893,0.2,0.946
ANGELONE,2026-02-26,2489.9,251.0,0.100807,0.1,0.807
ANIKINDS,2025-06-20,130.72,102.51,0.784195,0.8,1.976
AQYLON,2026-03-05,1084.1,109.0,0.100544,0.1,0.544
ARTNIRMAN,2025-03-25,67.34,44.01,0.653549,0.666667,1.968
ASHOKLEY,2025-07-16,250.9,125.4,0.499801,0.5,0.04
AVL,2025-06-20,423.7,337.0,0.795374,0.8,0.578
BAJFINANCE,2025-06-20,8932.0,897.0,0.100425,0.1,0.425
BANCOINDIA,2024-12-30,1056.1,534.95,0.506533,0.5,1.307
BANKNIFTY1,2026-02-27,631.97,63.55,0.100559,0.1,0.559
BCG,2026-05-19,11.57,9.15,0.790838,0.8,1.145
BECTORFOOD,2025-12-12,1310.3,262.9,0.200641,0.2,0.321
BHARATRAS,2025-12-12,9900.0,2549.0,0.257475,0.25,2.99
BIRLAMONEY,2025-06-20,268.53,174.72,0.650654,0.666667,2.402
BLUECHIP,2026-05-11,2.76,1.83,0.663043,0.666667,0.543
BLUECHIP,2026-08-10,2.49,1.69,0.678715,0.666667,1.807
BRIGADE,2026-06-17,720.25,559.7,0.777091,0.8,2.864
BSE,2025-06-20,6453.5,2600.0,0.402882,0.4,0.721
BSLNIFTY,2025-03-04,25.49,20.37,0.799137,0.8,0.108
BYKE,2026-05-19,43.06,34.37,0.798189,0.8,0.226
CAMS,2025-12-05,3956.7,791.4,0.200015,0.2,0.008
CENTEXT,2026-01-19,33.28,22.55,0.677584,0.666667,1.638
CHAMBLFERT,2025-06-20,690.85,543.05,0.786061,0.8,1.742
CINELINE,2025-03-25,121.72,80.15,0.658478,0.666667,1.228
CLEDUCATE,2025-12-02,108.17,85.05,0.786262,0.8,1.717
COASTCORP,2025-03-04,206.64,41.99,0.203204,0.2,1.602
COFFEEDAY,2025-12-15,48.81,33.09,0.677935,0.666667,1.69
CONS,2026-02-27,120.26,12.15,0.101031,0.1,1.031
CORALFINAC,2024-12-30,71.3,55.56,0.779243,0.8,2.595
CORDELIA,2026-08-25,1043.6,102.0,0.097739,0.1,2.261
CPCAP,2025-06-20,399.35,158.5,0.396895,0.4,0.776
CUPID,2026-03-09,402.2,82.0,0.203879,0.2,1.939
DBREALTY,2025-08-01,235.27,187.0,0.794831,0.8,0.646
DEVIT,2025-08-21,117.8,47.12,0.4,0.4,0.0
DIACABS,2025-01-13,1381.4,137.95,0.099862,0.1,0.138
DIACABS,2025-03-24,121.72,94.74,0.778344,0.8,2.707
DIGJAMLMTD,2025-12-09,52.75,42.0,0.796209,0.8,0.474
DRREDDY,2024-10-28,6514.7,1320.0,0.202619,0.2,1.309
ECLERX,2026-03-13,3151.8,1571.1,0.498477,0.5,0.305
ELGIRUBCO,2025-12-08,74.56,50.4,0.675966,0.666667,1.395
EMAMIREAL,2025-03-25,149.68,118.46,0.791422,0.8,1.072
ENERGY,2026-02-27,37.36,29.8,0.797645,0.8,0.294
ESSARSHPNG,2026-02-02,40.07,26.5,0.661343,0.666667,0.799
FCL,2025-10-31,248.6,25.55,0.102776,0.1,2.776
FILATFASH,2026-08-11,0.24,0.19,0.791667,0.8,1.042
