symbol,ex_date,factor,source
ANANDRATHI,2026-06-03,0.5,close_to_close_archive_v1
BEML,2025-11-03,0.5,close_to_close_archive_v1
AGIIL,2025-02-07,0.5,close_to_close_archive_v1
ANUHPHR,2025-07-15,0.5,close_to_close_archive_v1
AJMERA,2026-01-14,0.2,split_detector_auto_confirmed_v1
ASHOKLEY,2025-07-16,0.5,split_detector_auto_confirmed_v1
BAJFINANCE,2025-06-20,0.1,split_detector_auto_confirmed_v1
BECTORFOOD,2025-12-12,0.2,split_detector_auto_confirmed_v1
BSLNIFTY,2025-03-04,0.8,split_detector_auto_confirmed_v1
BYKE,2026-05-19,0.8,split_detector_auto_confirmed_v1
CAMS,2025-12-05,0.2,split_detector_auto_confirmed_v1
DEVIT,2025-08-21,0.4,split_detector_auto_confirmed_v1
DIACABS,2025-01-13,0.1,split_detector_auto_confirmed_v1
DIGJAMLMTD,2025-12-09,0.8,split_detector_auto_confirmed_v1
ECLERX,2026-03-13,0.5,split_detector_auto_confirmed_v1
ENERGY,2026-02-27,0.8,split_detector_auto_confirmed_v1
GOKULAGRO,2025-10-14,0.5,split_detector_auto_confirmed_v1
HDFCBANK,2025-08-26,0.5,split_detector_auto_confirmed_v1
IGL,2025-01-31,0.5,split_detector_auto_confirmed_v1
INDIAGLYCO,2025-08-12,0.5,split_detector_auto_confirmed_v1
IOLCP,2025-03-11,0.2,split_detector_auto_confirmed_v1
IRB,2026-03-30,0.5,split_detector_auto_confirmed_v1
JASH,2024-10-30,0.2,split_detector_auto_confirmed_v1
JINDALSAW,2024-10-09,0.5,split_detector_auto_confirmed_v1
JLHL,2026-07-24,0.2,split_detector_auto_confirmed_v1
KAMOPAINTS,2024-09-30,0.8,split_detector_auto_confirmed_v1
KFINTECH,2025-04-07,0.8,split_detector_auto_confirmed_v1
KIRLPNU,2026-08-18,0.5,split_detector_auto_confirmed_v1
KOTAKBANK,2026-01-14,0.2,split_detector_auto_confirmed_v1
MANBA,2024-12-26,0.8,split_detector_auto_confirmed_v1
MANORG,2026-08-11,0.8,split_detector_auto_confirmed_v1
MAZDOCK,2024-12-27,0.5,split_detector_auto_confirmed_v1
MBAPL,2026-07-03,0.2,split_detector_auto_confirmed_v1
MOTHERSON,2025-07-18,0.666667,split_detector_auto_confirmed_v1
NESTLEIND,2025-08-08,0.5,split_detector_auto_confirmed_v1
NUVAMA,2025-12-26,0.2,split_detector_auto_confirmed_v1
PASHUPATI,2026-04-17,0.1,split_detector_auto_confirmed_v1
POCL,2024-10-16,0.5,split_detector_auto_confirmed_v1
PRAXIS,2026-08-03,0.8,split_detector_auto_confirmed_v1
RAMRAT,2025-12-26,0.5,split_detector_auto_confirmed_v1
RESPONIND,2025-04-07,0.8,split_detector_auto_confirmed_v1
RHETAN,2026-08-14,0.8,split_detector_auto_confirmed_v1
RMDRIP,2025-09-26,0.1,split_detector_auto_confirmed_v1
ROLEXRINGS,2025-10-17,0.1,split_detector_auto_confirmed_v1
SENCO,2025-01-31,0.5,split_detector_auto_confirmed_v1
SIGMA,2025-10-06,0.1,split_detector_auto_confirmed_v1
SILVER1,2026-03-23,0.8,split_detector_auto_confirmed_v1
SPCENET,2025-01-06,0.8,split_detector_auto_confirmed_v1
SPCENET,2025-09-01,0.5,split_detector_auto_confirmed_v1
TFCILTD,2025-09-19,0.2,split_detector_auto_confirmed_v1
TRENT,2026-06-04,0.666667,split_detector_auto_confirmed_v1
USK,2026-05-19,0.8,split_detector_auto_confirmed_v1
VAISHALI,2025-01-27,0.8,split_detector_auto_confirmed_v1
VRLLOG,2025-08-14,0.5,split_detector_auto_confirmed_v1
WEBELSOLAR,2025-11-14,0.1,split_detector_auto_confirmed_v1
