symbol,name,sector,industry,market_cap_cr
RELIANCE,Reliance Industries,Energy,Oil & Gas,2000000
TCS,Tata Consultancy Services,IT,Software,1500000
HDFCBANK,HDFC Bank,Financials,Banks,1200000
BHARTIARTL,Bharti Airtel,Communication Services,Telecom,1100000
ICICIBANK,ICICI Bank,Financials,Banks,900000
INFY,Infosys,IT,Software,700000
SBIN,State Bank of India,Financials,Banks,700000
LT,Larsen & Toubro,Industrials,Construction,500000
ITC,ITC,Consumer Staples,FMCG,600000
HINDUNILVR,Hindustan Unilever,Consumer Staples,FMCG,580000
KOTAKBANK,Kotak Mahindra Bank,Financials,Banks,400000
AXISBANK,Axis Bank,Financials,Banks,360000
BAJFINANCE,Bajaj Finance,Financials,NBFC,460000
BAJAJFINSV,Bajaj Finserv,Financials,NBFC,260000
M&M,Mahindra & Mahindra,Consumer Discretionary,Auto,360000
MARUTI,Maruti Suzuki,Consumer Discretionary,Auto,400000
TITAN,Titan Company,Consumer Discretionary,Jewellery,310000
ULTRACEMCO,UltraTech Cement,Materials,Cement,310000
SUNPHARMA,Sun Pharmaceutical,Healthcare,Pharma,420000
NTPC,NTPC,Utilities,Power,360000
ONGC,Oil & Natural Gas Corp,Energy,Oil & Gas,300000
POWERGRID,Power Grid Corp,Utilities,Power,280000
HCLTECH,HCL Technologies,IT,Software,440000
WIPRO,Wipro,IT,Software,250000
TECHM,Tech Mahindra,IT,Software,150000
TATASTEEL,Tata Steel,Materials,Steel,180000
JSWSTEEL,JSW Steel,Materials,Steel,260000
HINDALCO,Hindalco Industries,Materials,Metals,160000
COALINDIA,Coal India,Energy,Coal,260000
ADANIENT,Adani Enterprises,Industrials,Conglomerate,290000
ADANIPORTS,Adani Ports & SEZ,Industrials,Logistics,260000
ADANIGREEN,Adani Green Energy,Utilities,Power,220000
ADANIPOWER,Adani Power,Utilities,Power,200000
NESTLEIND,Nestle India,Consumer Staples,FMCG,230000
BRITANNIA,Britannia Industries,Consumer Staples,FMCG,120000
TATAMOTORS,Tata Motors,Consumer Discretionary,Auto,330000
BAJAJ-AUTO,Bajaj Auto,Consumer Discretionary,Auto,260000
HEROMOTOCO,Hero MotoCorp,Consumer Discretionary,Auto,90000
EICHERMOT,Eicher Motors,Consumer Discretionary,Auto,140000
TVSMOTOR,TVS Motor Company,Consumer Discretionary,Auto,140000
ASIANPAINT,Asian Paints,Materials,Paints,220000
PIDILITIND,Pidilite Industries,Materials,Chemicals,150000
GRASIM,Grasim Industries,Materials,Cement,170000
SHREECEM,Shree Cement,Materials,Cement,90000
AMBUJACEM,Ambuja Cements,Materials,Cement,140000
ACC,ACC,Materials,Cement,40000
DLF,DLF,Real Estate,Real Estate,200000
GODREJPROP,Godrej Properties,Real Estate,Real Estate,75000
OBEROIRLTY,Oberoi Realty,Real Estate,Real Estate,65000
PRESTIGE,Prestige Estates,Real Estate,Real Estate,75000
DRREDDY,Dr Reddy's Laboratories,Healthcare,Pharma,95000
CIPLA,Cipla,Healthcare,Pharma,130000
DIVISLAB,Divi's Laboratories,Healthcare,Pharma,160000
LUPIN,Lupin,Healthcare,Pharma,95000
TORNTPHARM,Torrent Pharmaceuticals,Healthcare,Pharma,110000
AUROPHARMA,Aurobindo Pharma,Healthcare,Pharma,75000
ZYDUSLIFE,Zydus Lifesciences,Healthcare,Pharma,95000
ABBOTINDIA,Abbott India,Healthcare,Pharma,60000
GLAND,Gland Pharma,Healthcare,Pharma,30000
BIOCON,Biocon,Healthcare,Pharma,40000
APOLLOHOSP,Apollo Hospitals,Healthcare,Hospitals,100000
MAXHEALTH,Max Healthcare,Healthcare,Hospitals,90000
FORTIS,Fortis Healthcare,Healthcare,Hospitals,55000
SBILIFE,SBI Life Insurance,Financials,Insurance,150000
HDFCLIFE,HDFC Life Insurance,Financials,Insurance,140000
ICICIPRULI,ICICI Prudential Life,Financials,Insurance,90000
ICICIGI,ICICI Lombard,Financials,Insurance,80000
INDUSINDBK,IndusInd Bank,Financials,Banks,100000
PNB,Punjab National Bank,Financials,Banks,110000
BANKBARODA,Bank of Baroda,Financials,Banks,130000
CANBK,Canara Bank,Financials,Banks,90000
UNIONBANK,Union Bank of India,Financials,Banks,90000
IDFCFIRSTB,IDFC First Bank,Financials,Banks,55000
FEDERALBNK,Federal Bank,Financials,Banks,50000
RBLBANK,RBL Bank,Financials,Banks,15000
BANDHANBNK,Bandhan Bank,Financials,Banks,30000
AUBANK,AU Small Finance Bank,Financials,Banks,55000
CHOLAFIN,Cholamandalam Investment,Financials,NBFC,120000
SHRIRAMFIN,Shriram Finance,Financials,NBFC,100000
MUTHOOTFIN,Muthoot Finance,Financials,NBFC,80000
LICHSGFIN,LIC Housing Finance,Financials,NBFC,40000
PFC,Power Finance Corporation,Financials,NBFC,160000
RECLTD,REC,Financials,NBFC,140000
IRFC,Indian Railway Finance,Financials,NBFC,180000
HDFCAMC,HDFC Asset Management,Financials,AMC,90000
NUVOCO,Nuvoco Vistas,Materials,Cement,12000
JKCEMENT,JK Cement,Materials,Cement,30000
DALBHARAT,Dalmia Bharat,Materials,Cement,40000
RAMCOCEM,Ramco Cements,Materials,Cement,21000
BERGEPAINT,Berger Paints,Materials,Paints,55000
AKZOINDIA,Akzo Nobel India,Materials,Paints,15000
KANSAINER,Kansai Nerolac,Materials,Paints,21000
INDIGO,InterGlobe Aviation,Industrials,Aviation,170000
SPICEJET,SpiceJet,Industrials,Aviation,5500
GAIL,GAIL India,Energy,Gas,140000
IOC,Indian Oil Corp,Energy,Oil & Gas,180000
