symbol,date_added,source_reason
ETERNAL,2026-04-25,initial build
LTTS,2026-04-25,initial build
POLYCAB,2026-04-25,initial build
DIVISLAB,2026-04-25,initial build
PERSISTENT,2026-04-25,initial build
KAYNES,2026-04-25,initial build
POLYMED,2026-04-25,initial build
HAPPSTMNDS,2026-04-25,initial build
KPITTECH,2026-04-25,initial build
DATAPATTNS,2026-04-25,initial build
SONACOMS,2026-04-25,initial build
TRENT,2026-04-25,initial build
DIXON,2026-04-25,initial build
LUPIN,2026-04-25,initial build
MAPMYINDIA,2026-04-25,initial build
GROWW,2026-04-25,manual
